model,train,MAE,RMSE,Mean Error,R-squared,Model Score
XGBoost,zellij_CO_Tent,10250.494557731608,12938.131265495309,7487.906871083105,0.9835009924238011,0.9835009924238011
XGBoost,zellij_CO_Tent,10111.113836682562,12788.290777332897,7240.7894494209795,0.9838809396559988,0.9838809396559988
XGBoost,zellij_CO_Tent,9860.43343153951,12538.521519690668,6949.212495231608,0.9845044364586123,0.9845044364586123
XGBoost,zellij_CO_Random,9742.706118017712,12537.043517918724,7014.881837023161,0.9845080893806094,0.9845080893806094
XGBoost,zellij_CO_Random,10224.30194431199,12952.243128443342,7617.303754598092,0.983464981240132,0.983464981240132
XGBoost,zellij_CO_Random,10144.67830074932,12858.843167465528,7319.761073228883,0.9837025928701212,0.9837025928701212
XGBoost,zellij_CO_Random,10252.35269431199,12966.28025673757,7548.752536955039,0.9834291218218001,0.9834291218218001
XGBoost,zellij_CO_Random,10129.42260609673,12840.633100640882,7225.871533889645,0.9837487193728822,0.9837487193728822
XGBoost,zellij_CO_Random,10628.45549386921,13314.5951220296,8011.125897820162,0.9825268725247864,0.9825268725247864
XGBoost,zellij_CO_Random,9990.228555347412,12671.391689264661,7241.985975306539,0.9841742847450414,0.9841742847450414
XGBoost,zellij_CO_Random,9977.039077486375,12706.305452266895,7183.579001532697,0.9840869547198022,0.9840869547198022
XGBoost,zellij_CO_Random,10218.512260558584,12991.771990851932,7636.62423739782,0.9833639010102947,0.9833639010102947
XGBoost,zellij_CO_Random,10174.39178150545,12791.110004850829,7355.38273109673,0.9838738318558478,0.9838738318558478
