date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,cloud_cover,visibility,wind_speed_10m,wind_gusts_10m,direct_radiation
2010-03-31,434.82834,6174.1353,174.36165,174.61272,5648.4165,,881.66644,2041.38,918.2917
2010-04-01,417.85745,5669.92,43.32416,162.80083,6453.125,,697.7016,1608.495,7484.2915
2010-04-02,264.4325,5787.9688,-68.46125,21.715616,4117.0415,,504.0647,1248.1049,8362.833
2010-04-03,483.26163,5185.5747,21.199167,216.14589,4041.8333,,763.8083,1711.7401,9179.0
2010-04-04,632.0971,5689.963,274.1096,406.6813,6635.25,,773.04987,1757.4901,6060.7085
2010-04-05,446.15955,5909.957,137.08667,140.4037,5634.625,,1138.7219,2446.755,2092.9583
2010-04-06,409.02,5196.338,-52.98,122.61326,2618.9167,,795.46295,1780.005,7063.125
2010-04-07,490.74915,5484.9165,79.12417,249.13635,838.8333,,703.9515,1627.8451,12503.875
2010-04-08,708.30743,5321.6475,254.58667,529.2929,1295.0416,,495.28653,1198.62,12917.083
2010-04-09,596.2033,5751.7456,249.6471,355.53238,3962.8333,,850.2376,1867.0948,7217.5
2010-04-10,392.90955,6260.1,152.35332,111.69241,5018.6665,,997.0102,2244.315,8374.292
2010-04-11,330.9908,6569.723,139.96376,56.079983,6886.8335,,936.6572,2123.0398,6138.5415
2010-04-12,489.50748,6433.181,277.61792,262.8346,6986.5835,,773.7183,1850.985,2738.9167
2010-04-13,607.60126,6292.85,361.80957,413.08884,5675.625,,682.58563,1568.1,6802.875
2010-04-14,527.24915,6466.5415,318.71164,293.39365,6842.0,,876.8892,1815.465,4179.7915
2010-04-15,497.49918,7101.0723,404.8304,279.034,6638.25,,893.4703,1912.1699,360.375
2010-04-16,565.31586,5484.0366,162.33665,311.67197,3346.4583,,856.64264,1967.955,10371.0
2010-04-17,550.6158,5039.2856,48.382507,339.18887,478.33334,,511.88086,1210.0499,15764.625
2010-04-18,725.345,5271.0483,264.56375,492.4469,3540.2083,,881.4646,1934.745,12666.0
2010-04-19,800.8471,5254.728,323.25125,609.67084,1486.625,,662.90924,1546.1849,13820.333
2010-04-20,751.93243,5481.5874,340.46582,571.93665,2661.6667,,593.3393,1572.015,11751.167
2010-04-21,460.5533,5082.1797,-17.265417,150.78763,3193.9583,,1027.879,2471.775,9412.625
2010-04-22,376.80127,4608.4834,-219.38208,90.21976,2637.2083,,707.6438,1666.0648,11979.792
